<OK> [1-base] matrice_consegna_relazione.txt; Memoria = 2.52 KB; Tempo = 1.0485649108886719 ms; A = 892 B; B = 892 B; COV = 376 B; Risultato = [3, 1, 0] - [5, 4] - 
<OK> [2-base] matrice_consegna_relazione.txt; Memoria = 2.09 KB; Tempo = 0.5955696105957031 ms; A = 892 B; B = 536 B; COV = 376 B; Risultato = [3, 1, 0] - [5, 4] - 
<OK> [5-plus] input_3.txt; Memoria = 50.52 KB; Tempo = 290.9972667694092 ms; A = 32128 B; B = 54428 B; COV = 248 B; Risultato = [128, 110, 104, 75, 22] - [129, 128, 115, 75, 61] - [137, 117, 103, 61, 44] - [146, 118, 115, 85, 70, 53] - [161, 95, 33, 12, 8] - [168, 53, 44, 38, 0] - [171, 130, 90, 53, 21] - [172, 164, 154, 115, 64] - [172, 168, 166, 95, 47] - [172, 169, 53, 33, 14] - [176, 128, 110, 104, 85, 33] - [182, 115, 108, 80, 74, 38] - [182, 165, 143, 52, 45] - [182, 180, 85, 80, 33, 16] - [189, 61, 52, 33, 31, 12] - [189, 158, 61, 52, 33, 12] - [198, 168, 155, 25] - 
<OK> [5-base] input_3.txt; Memoria = 50.52 KB; Tempo = 464.82205390930176 ms; A = 32128 B; B = 54428 B; COV = 248 B; Risultato = [128, 110, 104, 75, 22] - [129, 128, 115, 75, 61] - [137, 117, 103, 61, 44] - [146, 118, 115, 85, 70, 53] - [161, 95, 33, 12, 8] - [168, 53, 44, 38, 0] - [171, 130, 90, 53, 21] - [172, 164, 154, 115, 64] - [172, 168, 166, 95, 47] - [172, 169, 53, 33, 14] - [176, 128, 110, 104, 85, 33] - [182, 115, 108, 80, 74, 38] - [182, 165, 143, 52, 45] - [182, 180, 85, 80, 33, 16] - [189, 61, 52, 33, 31, 12] - [189, 158, 61, 52, 33, 12] - [198, 168, 155, 25] - 
<STOP> [4-base] input_3.txt; Memoria = 82.72 KB; Tempo = 3009.2670917510986 ms; A = 32128 B; B = 78844 B; COV = 56 B; Risultato = 
<STOP> [3-base] input_3.txt; Memoria = 86.08 KB; Tempo = 3012.0646953582764 ms; A = 8128 B; B = 74532 B; COV = 56 B; Risultato = 
<STOP> [2-base] input_4.txt; Memoria = 267.97 KB; Tempo = 300015.0680541992 ms; A = 52916 B; B = 206148 B; COV = 12500 B; Risultato = [63, 31, 19, 17, 16, 14] - [85, 82, 65, 64, 45, 31] - [91, 78, 69, 64, 4] - [91, 82, 63, 62, 3] - [95, 91, 88, 61, 15, 7] - [97, 96, 79, 65, 40, 15] - [99, 80, 67, 57, 56, 23] - [100, 88, 61, 40, 15, 7, 5] - [104, 80, 67, 41, 24, 6] - [106, 101, 100, 52, 47, 24] - [113, 104, 91, 82, 65, 45, 35] - [114, 112, 104, 100, 91, 80, 71, 41] - [115, 74, 46, 45, 31, 16] - [116, 82, 71, 70, 50, 31, 28] - [116, 89, 71, 47, 43, 18] - [116, 91, 90, 88, 16, 11, 5] - [116, 106, 100, 91, 80, 57, 47, 24] - [116, 112, 71, 63, 31, 17, 16, 5] - [116, 115, 112, 109, 71, 57, 16] - [119, 81, 64, 61, 5] - [121, 114, 112, 104, 100, 91, 80, 41] - [121, 116, 82, 70, 50, 31, 28] - [121, 116, 89, 47, 43, 18] - [121, 116, 112, 63, 31, 17, 16, 5] - [121, 116, 115, 112, 109, 57, 16] - [122, 112, 99, 91, 35, 7] - [123, 96, 91, 71, 61, 50] - [123, 116, 96, 91, 50, 45] - [123, 121, 96, 91, 61, 50] - [125, 29, 15, 1] - [125, 82, 71, 65, 64, 61, 57] - [125, 99, 82, 79, 57, 50, 45] - [125, 116, 82, 65, 64, 57, 45] - [125, 121, 82, 65, 64, 61, 57] - [127, 91, 77, 73, 71, 65, 30] - [127, 121, 91, 77, 73, 65, 30] - [129, 97, 96, 91, 65, 64] - [130, 116, 115, 108, 77, 31] - [131, 91, 87, 79, 78] - [131, 100, 91, 88, 82, 71, 61, 17] - [131, 116, 100, 91, 88, 82, 45, 17] - [131, 121, 100, 91, 88, 82, 61, 17] - [131, 125, 116, 88, 82, 71, 11] - [131, 125, 121, 116, 88, 82, 11] - [137, 119, 81, 30] - [138, 116, 112, 104, 100, 7, 5] - [140, 96, 40, 30, 24, 0] - [140, 97, 96, 63, 40, 24] - [140, 125, 110, 30, 0] - [140, 125, 110, 97, 63] - [141, 96, 91, 71, 65, 64, 61] - [141, 99, 96, 91, 79, 50, 45] - [141, 116, 96, 91, 65, 64, 45] - 
<STOP> [3-base] input_4.txt; Memoria = 221.11 KB; Tempo = 300018.89538764954 ms; A = 8128 B; B = 206148 B; COV = 8664 B; Risultato = [63, 31, 19, 17, 16, 14] - [85, 82, 65, 64, 45, 31] - [91, 78, 69, 64, 4] - [91, 82, 63, 62, 3] - [95, 91, 88, 61, 15, 7] - [97, 96, 79, 65, 40, 15] - [99, 80, 67, 57, 56, 23] - [100, 88, 61, 40, 15, 7, 5] - [104, 80, 67, 41, 24, 6] - [106, 101, 100, 52, 47, 24] - [113, 104, 91, 82, 65, 45, 35] - [114, 112, 104, 100, 91, 80, 71, 41] - [115, 74, 46, 45, 31, 16] - [116, 82, 71, 70, 50, 31, 28] - [116, 89, 71, 47, 43, 18] - [116, 91, 90, 88, 16, 11, 5] - [116, 106, 100, 91, 80, 57, 47, 24] - [116, 112, 71, 63, 31, 17, 16, 5] - [116, 115, 112, 109, 71, 57, 16] - [119, 81, 64, 61, 5] - [121, 114, 112, 104, 100, 91, 80, 41] - [121, 116, 82, 70, 50, 31, 28] - [121, 116, 89, 47, 43, 18] - [121, 116, 112, 63, 31, 17, 16, 5] - [121, 116, 115, 112, 109, 57, 16] - [122, 112, 99, 91, 35, 7] - [123, 96, 91, 71, 61, 50] - [123, 116, 96, 91, 50, 45] - [123, 121, 96, 91, 61, 50] - [125, 29, 15, 1] - [125, 82, 71, 65, 64, 61, 57] - [125, 99, 82, 79, 57, 50, 45] - [125, 116, 82, 65, 64, 57, 45] - [125, 121, 82, 65, 64, 61, 57] - [127, 91, 77, 73, 71, 65, 30] - [127, 121, 91, 77, 73, 65, 30] - [129, 97, 96, 91, 65, 64] - [130, 116, 115, 108, 77, 31] - [131, 91, 87, 79, 78] - [131, 100, 91, 88, 82, 71, 61, 17] - [131, 116, 100, 91, 88, 82, 45, 17] - [131, 121, 100, 91, 88, 82, 61, 17] - [131, 125, 116, 88, 82, 71, 11] - [131, 125, 121, 116, 88, 82, 11] - [137, 119, 81, 30] - [138, 116, 112, 104, 100, 7, 5] - [140, 96, 40, 30, 24, 0] - [140, 97, 96, 63, 40, 24] - [140, 125, 110, 30, 0] - [140, 125, 110, 97, 63] - [141, 96, 91, 71, 65, 64, 61] - [141, 99, 96, 91, 79, 50, 45] - [141, 116, 96, 91, 65, 64, 45] - [141, 121, 96, 91, 65, 64, 61] - 
<OK> [1-base] matrice_consegna_relazione.txt; Memoria = 2.52 KB; Tempo = 1.1684894561767578 ms; A = 892 B; B = 892 B; COV = 376 B; Risultato = [3, 1, 0] - [5, 4] - 
<OK> [1-base] input_1.txt; Memoria = 2.52 KB; Tempo = 0.9109973907470703 ms; A = 892 B; B = 892 B; COV = 376 B; Risultato = [3, 1, 0] - [5, 4] - 
<OK> [1-base] input_1.txt; Memoria = 2.52 KB; Tempo = 1.1136531829833984 ms; A = 892 B; B = 892 B; COV = 376 B; Risultato = [3, 1, 0] - [5, 4] - 
